identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19710903-0,Friday,03-SEP-1971,-,A1, Maneuvering (MNV),"1,7 km (1.1 mls) W off  Esigna, Corsica",France,2,0, Damaged beyond repair,-,Canadair CL-215-1A10,2,Pratt & Whitney R-2800-83AM,1970,-,-, F-ZBBG, 1025,Securité Civile,Fire fighting,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19710903-1,Friday,03-SEP-1971,-,H2, Unknown (UNK),at an unknown location,Unknown country,86,0, Unknown,-,McDonnell Douglas DC-9,-,-,-,-,-, registration unknown,-,Eastern Air Lines,Domestic Scheduled Passenger,EA993,Chicago-O'Hare International Airport,ORD,KORD,United States of America,Miami International Airport,MIA,KMIA,United States of America,6,80,0,0,-,-,-
19710904-0,Saturday,04-SEP-1971,12:15,A1, Approach (APR),"35 km (21.9 mls) W of Juneau, AK",United States of America,111,111, Destroyed, Written off (damaged beyond repair),Boeing 727-193,3,Pratt & Whitney JT8D-7B,1966,-,11344.0, N2969G, 19304/287,Alaska Airlines,Domestic Scheduled Passenger,1866,Yakutat Airport,YAK,PAYA,United States of America,Juneau International Airport,JNU,PAJN,United States of America,7,104,7,104,-,-,Final
19710906-0,Monday,06-SEP-1971,18:21,A1, Initial climb (ICL),"4,5 km (2.8 mls) NW of Hamburg-Fuhlsbüttel Airport (HAM)",Germany,121,22, Destroyed, Written off (damaged beyond repair),BAC One-Eleven 515FB,-,-,1970,-,-, D-ALAR, 207,Paninternational,Int'l Non Scheduled Passenger, 112,Hamburg-Fuhlsbüttel Airport,HAM,EDDH,Germany,Málaga Airport,AGP,LEMG,Spain,6,115,1,21,-,-,-
19710906-1,Monday,06-SEP-1971,-,A1, Landing (LDG),"Townsville RAAF Station, QLD (TSV)",Australia,-,0, Damaged beyond repair,-,Douglas C-47B-25-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, A65-73, 32671/15923,RAAF,Military,-,-,-,-,-,Townsville RAAF Station,TSV,YBTL,Australia,-,-,0,0,-,-,-
19710908-0,Wednesday,08-SEP-1971,-,H2, Unknown (UNK),Benghazi,Libya,56,0, Unknown,-,Sud-Aviation SE-210 Caravelle,-,-,-,-,-, registration unknown,-,Alia,International Scheduled Passenger,-,Beirut International Airport,BEY,OLBA,Lebanon,Amman-Marka International Airport,ADJ,OJAM,Jordan,-,-,0,0,-,-,-
19710909-0,Thursday,09-SEP-1971,-,A1, En route (ENR),ca 10 km NE of Basse-Terre,Guadeloupe,2,2, Destroyed, Written off (damaged beyond repair),Douglas R4D-6 (DC-3),-,-,1944,-,-, 8P-AAC, 26362/14918,Carib West,Cargo,-,Port of Spain-Piarco Airport,POS,TTPP,Trinidad and Tobago,Dominica-Melville Hall Airport,DOM,TDPD,Dominica,2,0,2,0,-,-,-
19710911-1,Saturday,11-SEP-1971,09:22,A1, Approach (APR),"near Philadelphia International Airport, PA (PHL)",United States of America,6,0, Destroyed, Written off (damaged beyond repair),Howard Eldorado 700,-,-,1943,-,-, N25YC, 5598,Youngstown Cartage Co.,Executive,-,Reading Municipal Airport/Spaatz Field,RDG,KRDG,United States of America,Philadelphia International Airport,PHL,KPHL,United States of America,2,4,0,0,-,-,Final
19710912-0,Sunday,12-SEP-1971,-,A1, Unknown (UNK),Cerro de Hojas,Ecuador,-,-, Damaged beyond repair,-,Douglas C-47A-90-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, HC-AUX, 20179,TAME Ecuador,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710913-0,Monday,13-SEP-1971,-,C1, En route (ENR),near Öndörkhaan,Mongolia,9,9, Damaged beyond repair,-,Hawker Siddeley HS-121 Trident 1E,-,-,1966,-,-, 256, 2131,China Air Force,Military,-,Qinhuangdao Shanhaiguan Airport,SHP,ZBSH,China,-,-,-,-,-,-,-,-,-,-,-
19710916-0,Thursday,16-SEP-1971,-,A1, Takeoff (TOF),"ca 0,8 km NW of Belleville-Scott AFB, IL (BLV)",United States of America,3,3, Damaged beyond repair,-,McDonnell Douglas C-9A Nightingale (DC-9-30),2,Pratt & Whitney JT8D-9,1968,-,-, 67-22586, 47296/362,USAF,Military,-,Belleville-Scott AFB,BLV,KBLV,United States of America,Belleville-Scott AFB,BLV,KBLV,United States of America,3,0,3,0,-,-,-
